loci	value	label
1	1	0.000127965255629605	J(x)
2	2	0.000164772527513193	J(x)
3	3	0.000205112249024283	J(x)
4	4	0.00024881796478273	J(x)
5	5	0.000295749499235643	J(x)
6	6	0.000398823978455159	J(x)
7	7	0.00051353966855766	J(x)
8	8	0.000706090305931509	J(x)
9	9	0.000775480579767667	J(x)
10	10	0.000775480579767667	J(x)
11	11	0.000921750137026975	J(x)
12	12	0.00124299807012617	J(x)
13	13	0.00132906319706845	J(x)
14	14	0.00132906319706845	J(x)
15	15	0.00132906319706845	J(x)
16	16	0.00160052767996289	J(x)
17	17	0.00160052767996289	J(x)
18	18	0.0016953397095095	J(x)
19	19	0.0016953397095095	J(x)
20	20	0.00189128594808379	J(x)
21	21	0.00199236994793638	J(x)
22	22	0.00230778640531493	J(x)
23	23	0.00241690799987822	J(x)
24	24	0.00252798705317204	J(x)
25	25	0.00252798705317204	J(x)
26	26	0.0027559413657987	J(x)
27	27	0.00299150369064653	J(x)
28	28	0.00299150369064653	J(x)
29	29	0.00299150369064653	J(x)
30	30	0.00311209506008017	J(x)
31	31	0.00323453820419467	J(x)
32	32	0.00323453820419467	J(x)
33	33	0.00311209506008017	J(x)
34	34	0.00299150369064653	J(x)
35	35	0.00299150369064653	J(x)
36	36	0.0027559413657987	J(x)
37	37	0.00287278023227452	J(x)
38	38	0.00287278023227452	J(x)
39	39	0.00241690799987822	J(x)
40	40	0.00220064222569391	J(x)
41	41	0.00220064222569391	J(x)
42	42	0.00189128594808379	J(x)
43	43	0.00179226769020101	J(x)
44	44	0.0016953397095095	J(x)
45	45	0.00141736044534639	J(x)
46	46	0.00150785850922555	J(x)
47	47	0.00141736044534639	J(x)
48	48	0.00141736044534639	J(x)
49	49	0.00124299807012617	J(x)
50	50	0.00124299807012617	J(x)
51	51	0.00115919812240195	J(x)
52	52	0.00132906319706845	J(x)
53	53	0.00132906319706845	J(x)
54	54	0.00124299807012617	J(x)
55	55	0.00115919812240195	J(x)
56	56	0.000847383344335163	J(x)
57	57	0.000847383344335163	J(x)
58	58	0.000847383344335163	J(x)
59	59	0.000775480579767667	J(x)
60	60	0.000847383344335163	J(x)
61	61	0.000775480579767667	J(x)
62	62	0.000775480579767667	J(x)
63	63	0.000921750137026975	J(x)
64	64	0.000921750137026975	J(x)
65	65	0.000998535848946118	J(x)
66	66	0.00150785850922555	J(x)
67	67	0.00335881750094477	J(x)
68	68	0.00387400027531467	J(x)
69	69	0.00895347440854869	J(x)
70	70	0.0100809504010687	J(x)
71	71	0.0104682865051198	J(x)
72	72	0.0108612980973438	J(x)
73	73	0.0108612980973438	J(x)
74	74	0.011059917854993	J(x)
75	75	0.0112599394417663	J(x)
76	76	0.0112599394417663	J(x)
77	77	0.0112599394417663	J(x)
78	78	0.011664166164424	J(x)
79	79	0.0114613573529028	J(x)
80	80	0.0120739351844809	J(x)
81	81	0.012698889292848	J(x)
82	82	0.0129099338793459	J(x)
83	83	0.0133360833035956	J(x)
84	84	0.0135511785155342	J(x)
85	85	0.0135511785155342	J(x)
